analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	PL_acute_LPS	32	55	0.5818181818181818	-0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	LL_tolerized	31	55	0.5636363636363636	0.0	0
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	sham_WT	30	55	0.5454545454545454	-0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	stroke_WT	36	55	0.6545454545454545	0.0	0
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	homeostatic	23	55	0.41818181818181815	-0.036363636363636376	2
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	PP_control	32	55	0.5818181818181818	0.0	2
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	PL_acute_LPS	35	55	0.6363636363636364	-0.036363636363636376	2
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	LL_tolerized	35	55	0.6363636363636364	0.0	0
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	sham_WT	35	55	0.6363636363636364	-0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	SaCas9_NNGRRT	stroke_WT	39	55	0.7090909090909091	0.0	0
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	homeostatic	29	55	0.5272727272727272	-0.036363636363636376	4
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	PP_control	36	55	0.6545454545454545	0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	PL_acute_LPS	37	55	0.6727272727272727	-0.036363636363636376	2
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	LL_tolerized	37	55	0.6727272727272727	0.0	0
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	sham_WT	37	55	0.6727272727272727	0.0	2
matched_depth_genrich	therapeutic_panel	SpCas9_NGG	stroke_WT	42	55	0.7636363636363637	0.0	0
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	homeostatic	29	55	0.5272727272727272	-0.018181818181818188	3
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	PP_control	36	55	0.6545454545454545	0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	PL_acute_LPS	37	55	0.6727272727272727	-0.036363636363636376	2
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	LL_tolerized	37	55	0.6727272727272727	0.0	0
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	sham_WT	37	55	0.6727272727272727	0.0	2
matched_depth_genrich	therapeutic_panel	CjCas9_NNNVRYM	stroke_WT	42	55	0.7636363636363637	0.0	0
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	homeostatic	29	55	0.5272727272727272	-0.018181818181818188	3
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	PP_control	36	55	0.6545454545454545	0.018181818181818188	1
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	PL_acute_LPS	37	55	0.6727272727272727	-0.036363636363636376	2
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	LL_tolerized	37	55	0.6727272727272727	0.0	0
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	sham_WT	37	55	0.6727272727272727	0.0	2
matched_depth_genrich	therapeutic_panel	Nme2Cas9_NNNNCC	stroke_WT	42	55	0.7636363636363637	0.0	0
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	homeostatic	5913	21599	0.27376267419787953	-0.016482244548358727	728
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	PP_control	7943	21599	0.3677485068753183	-0.005787304967822593	269
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	PL_acute_LPS	8355	21599	0.38682346404926155	-0.006250289365248407	273
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	LL_tolerized	8372	21599	0.3876105375248854	-0.0010648641140793558	225
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	sham_WT	8765	21599	0.4058058243437196	0.007500347238298066	282
matched_depth_genrich	genome_wide	Un1Cas12f1_TTTR	stroke_WT	9342	21599	0.4325200240751887	0.0	0
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	homeostatic	7470	21599	0.34584934487707764	-0.01685263206629939	818
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	PP_control	9252	21599	0.4283531644983564	-0.005000231492198692	210
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	PL_acute_LPS	9657	21599	0.4471040325941016	-0.00407426269734712	210
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	LL_tolerized	9625	21599	0.445622482522339	-0.0006944765961386934	167
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	sham_WT	9786	21599	0.4530765313208945	0.0069447659613871005	288
