#bamPEFragmentSize
Size	Occurrences	Sample
141	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
142	54	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
143	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
144	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
145	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
146	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
147	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
148	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
149	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
150	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
151	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
152	47	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
153	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
154	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
155	37	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
156	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
157	54	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
158	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
159	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
160	67	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
161	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
162	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
163	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
164	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
165	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
166	81	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
167	85	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
168	79	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
169	89	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
170	67	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
171	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
172	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
173	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
174	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
175	83	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
176	95	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
177	79	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
178	94	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
179	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
180	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
181	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
182	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
183	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
184	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
185	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
186	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
187	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
188	67	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
189	83	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
190	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
191	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
192	57	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
193	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
194	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
195	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
196	84	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
197	68	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
198	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
199	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
200	76	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
201	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
202	89	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
203	79	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
204	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
205	79	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
206	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
207	74	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
208	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
209	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
210	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
211	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
212	84	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
213	83	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
214	82	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
215	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
216	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
217	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
218	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
219	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
220	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
221	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
222	92	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
223	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
224	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
225	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
226	79	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
227	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
228	82	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
229	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
230	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
231	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
232	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
233	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
234	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
235	73	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
236	81	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
237	76	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
238	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
239	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
240	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
241	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
242	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
243	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
244	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
245	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
246	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
247	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
248	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
249	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
250	57	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
251	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
252	41	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
253	48	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
254	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
255	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
256	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
257	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
258	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
259	47	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
260	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
261	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
262	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
263	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
264	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
265	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
266	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
267	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
268	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
269	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
270	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
271	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
272	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
273	32	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
274	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
275	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
276	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
277	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
278	42	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
279	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
280	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
281	36	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
282	31	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
283	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
284	37	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
285	34	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
286	49	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
287	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
288	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
289	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
290	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
291	36	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
292	41	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
293	35	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
294	33	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
295	42	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
296	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
297	31	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
298	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
299	41	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
300	32	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
