#bamPEFragmentSize
Size	Occurrences	Sample
135	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
136	68	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
137	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
138	92	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
139	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
140	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
141	56	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
142	77	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
143	62	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
144	59	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
145	53	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
146	74	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
147	68	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
148	69	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
149	52	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
150	64	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
151	67	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
152	64	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
153	70	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
154	76	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
155	65	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
156	83	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
157	83	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
158	71	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
159	79	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
160	68	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
161	69	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
162	54	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
163	68	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
164	63	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
165	89	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
166	92	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
167	118	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
